"gene","logHR","HR","se","n","low","up","pval","fdr","study"
"ATRX",0.274726691216301,1.31617090463659,0.712890806814619,48,0.306311898591779,4.78576168004611,0.689400394450463,0.689400394450463,"Mut"
"PIK3CA",2.21195060989776,9.13351495304199,0.71292497746089,48,2.33078499543815,35.7685262828359,0.00244554557674703,0.00489109115349406,"Mut"
"PDGFRA",3.50668722019011,33.3376443744231,1.22790387792053,48,4.09550691297029,385.454198417389,0.00194002506379254,0.00489109115349406,"Mut"
"CDKN2A",1.10588212354317,3.02188897283072,0.710965693302596,48,0.705005592267203,10.9348762730997,0.126303358557226,0.189455037835839,"Mut"
"TP53",0.57191982786658,1.77166508056646,0.771062937221268,48,0.47224706279384,9.49709954753497,0.414552365202953,0.497462838243543,"Mut"
"CDKN2B",3.84921726838552,46.9562946671626,1.22014012721246,48,5.83844726603891,532.368074866129,0.000801092575042461,0.00480655545025477,"Mut"
