"variable","level","logHR","HR","se","n","low","up","pval","study"
"Age","variable<40",-1.33767796471892,0.262454389923675,0.393608259816394,148,0.112094568189238,0.529490660155028,5.95785731217768e-05,"WT"
"Sex","variableMale",0.063489472329305,1.06554826800114,0.257616329347738,148,0.649461673841836,1.77823679540647,0.803435747015334,"WT"
"Grade","variableLow",-2.87534116048134,0.0563968958292464,0.836185797579035,148,0.00638241157025479,0.207571688447273,1.04934038125393e-08,"WT"
"Histo","variableNon-GBM",-1.85358526839253,0.156674438239484,0.451892968052657,148,0.0575193235672838,0.3449180765546,1.417080840449e-07,"WT"
"MGMT","variableU",0.604073322638406,1.82955601495407,0.310112948332151,148,1.02171490850696,3.42936919755067,0.041947011094375,"WT"
"MGMT","variableUnknown",-0.238569922648737,0.787753604512783,0.370708058547135,148,0.380128192019899,1.62290636921152,0.514885431265808,"WT"
"ECOG","variableECOG 2–3",1.00852352521163,2.74155019554163,0.323468973620581,148,1.40027067952305,4.97911318244609,0.00447960792639324,"WT"
"Resection","variableBiopsy",0.634572950621292,1.88621646187035,0.266146535857738,148,1.11371768225599,3.14107719754762,0.018893052418561,"WT"
"Resection","variableTotal",-1.43831550925298,0.23732719763049,0.567390022831259,148,0.064545454420568,0.622045583691848,0.00186712362248853,"WT"
