"variable","level","logHR","HR","se","n","low","up","pval","study"
"Age","variable<40",-0.484658420409244,0.615907542283608,0.495743075696604,105,0.201155997939656,1.44596009620832,0.290835816208151,"GBM"
"Sex","variableMale",0.0766457102885453,1.07965949637308,0.271925785567657,105,0.641389466800709,1.85698819932177,0.77559988941085,"GBM"
"Grade","variableLow",-1.76200213387105,0.171700751568199,1.44511920923344,105,0.00135626462374753,NA,0.0885780576209813,"GBM"
"MGMT","variableU",0.786674049658754,2.1960802125861,0.32283383340172,105,1.19787329420654,4.223045952675,0.0104678208083215,"GBM"
"MGMT","variableUnknown",1.2042853687748,3.33437537767406,0.384845999839744,105,1.56490776471724,7.05867710619943,0.00219163220380625,"GBM"
"ECOG","variableECOG 2–3",0.604271191624088,1.82991806316487,0.347216923615844,105,0.883093293407968,3.45132075834372,0.0994622351455414,"GBM"
"Resection","variableBiopsy",0.686491131603345,1.98673210694357,0.279099075548795,105,1.14328388627313,3.38989431659176,0.0155984363260476,"GBM"
"Resection","variableTotal",-1.17576283730134,0.308583490882196,0.571719015435993,105,0.0835413654059346,0.81634387365475,0.0151138949997049,"GBM"
