"variable","level","logHR","HR","se","n","low","up","pval","study"
"Age","variable<40",-0.445031660178219,0.640803987742699,0.907564580984531,43,0.124628478749512,3.8489163623848,0.59714576297812,"WT-nonGBM"
"Sex","variableMale",-0.64656063929801,0.523844371725673,0.907753014252386,43,0.0871818426495298,2.69450981591541,0.431035298601229,"WT-nonGBM"
"Grade","variableLow",-1.9526519238309,0.141897271429039,1.03496846964432,43,0.0141933119192302,0.769519478741134,0.0230551385039268,"WT-nonGBM"
"MGMT","variableU",-0.500453129752357,0.606255884884028,1.1162017083048,43,0.0989573561280671,6.28553586903907,0.622294899446976,"WT-nonGBM"
"MGMT","variableUnknown",-2.55307402251536,0.0778420097449144,1.32378599102946,43,0.00624959441827492,0.969307513253785,0.047686890344275,"WT-nonGBM"
"ECOG","variableECOG 2–3",3.39732007876683,29.8839061241419,1.20777154677221,43,3.8466689758265,335.199483975834,0.00218837683579243,"WT-nonGBM"
"Resection","variableBiopsy",0.456400248218806,1.57838196292528,0.945061103267287,43,0.262471238898185,8.12773400292094,0.588327358792013,"WT-nonGBM"
"Resection","variableTotal",-1.28418090722011,0.276877278957157,1.72896825146131,43,0.00205580694969065,2.8736086247885,0.324480826755436,"WT-nonGBM"
