"gene","hr","se","n","low","up","pval","fdr"
"ATRX",-0.0985126428224336,0.7530535101808,47,0.207117212666267,3.96475917510354,0.895919610416984,0.998450775701471
"TERTp",-19.9084406628616,10253.2780234761,47,0,Inf,0.998450775701471,0.998450775701471
"PIK3CA",2.39597235448003,0.969347647101104,47,1.64228058698216,73.3952214981974,0.013445842893869,0.0390137884318496
"PDGFRA",3.32300164523779,1.38874826266458,47,1.82413347639449,421.95481027808,0.0167201950422213,0.0390137884318496
"CDKN2A",0.574667859279923,0.826151969099156,47,0.351846511304322,8.97009228742644,0.486681982468832,0.788705917380196
"TP53",0.503918578765843,0.872048766937759,47,0.299612412728374,9.14404414947741,0.563361369557283,0.788705917380196
"CDKN2B",4.41261498509772,1.60616846469106,47,3.54161430371355,1921.08868737043,0.00600894716576003,0.0390137884318496
