"gene","hr","se","n","low","up","pval","fdr"
"ATRX",0.175999189608994,0.72158820347504,47,0.28988015475828,4.90515199394162,0.80730416178414,0.94185485541483
"TERTp",-19.4801084649744,9930.84905380738,47,0,Inf,0.99843489033665,0.99843489033665
"PIK3CA",2.19236193832277,0.712637258651162,47,2.21581122354445,36.2016717722913,0.00209511957075751,0.00733291849765127
"PDGFRA",3.65662806276924,1.25671634668434,47,3.2986367744929,454.749556007363,0.00361812206414781,0.00844228481634488
"CDKN2A",1.01815505720102,0.717763207212484,47,0.677981702842809,11.3016088621546,0.156041608187913,0.273072814328849
"TP53",0.750954173206929,0.80291460259504,47,0.439231122044335,10.2229774397001,0.349641322136358,0.489497850990901
"CDKN2B",3.99722019024854,1.24860585800338,47,4.71145924104404,629.195930119022,0.00136786859189733,0.00733291849765127
