"gene","hr","se","n","low","up","pval","fdr"
"ATRX",-0.453457579333559,0.677527550996438,199,0.168404378348081,2.39760906805867,0.503315056160094,0.999339855956031
"TERTp",0.0636841233678282,0.278042120863625,199,0.617999012322111,1.83792398650924,0.818834036323397,0.999339855956031
"PIK3CA",0.186841911750724,0.338271587194915,199,0.621165196110008,2.33927730966821,0.580713439008299,0.999339855956031
"FGFR1",-1.19648282552509,1.01344066088765,199,0.0414697919617254,2.20300947834631,0.237755866860179,0.999339855956031
"EGFR",-0.171393447318626,0.270574868550766,199,0.495736648037204,1.43178733747822,0.526445138213154,0.999339855956031
"PTEN",0.0258530923085515,0.288649815858434,199,0.582812270250582,1.80687048597426,0.928632426236087,0.999339855956031
"BRAF",-0.439566371727681,0.721706502007627,199,0.156596143358193,2.65104096438703,0.542481170918759,0.999339855956031
"CDK4",-0.138430618080338,0.324137150358487,199,0.461290280319473,1.64356312566684,0.669325275257018,0.999339855956031
"MDM4",-0.0973926281049899,0.518904071996973,199,0.328103582335062,2.50838887465242,0.851120390700781,0.999339855956031
"PDGFRA",0.512325118799492,0.34083258388845,199,0.855820628982272,3.25549620501312,0.132798385645758,0.999339855956031
"CDKN2A",0.416014992567764,0.288845457782975,199,0.860611839177307,2.67016878807182,0.149791470944607,0.999339855956031
"TP53",-0.0455829140736776,0.27425612053228,199,0.558156978405967,1.63550104134439,0.867995120999423,0.999339855956031
"FGFR3-TACC3",-0.490016070209021,0.593784728528362,199,0.19131906396451,1.96163951784362,0.409234238551404,0.999339855956031
"FGFR3",-0.474750602667645,0.721767597215427,199,0.151164127039198,2.55969444279014,0.510691695117002,0.999339855956031
"KIAA1549-BRAF",18.3825356228338,15298.1864433069,199,0,Inf,0.999041249896736,0.999339855956031
"NF1",-0.192649773609914,0.401878179505573,199,0.375192319823419,1.81306173845271,0.631672899549422,0.999339855956031
"PTPRZ1-MET",0.894106010078414,1.15743574871143,199,0.252984673329451,23.6328665111209,0.439825050755572,0.999339855956031
"MSH6",-20.5446601736026,14958.8135409106,199,0,Inf,0.998904173652459,0.999339855956031
"RB1",0.223926424634626,0.753658419476174,199,0.285584610668041,5.47980646348137,0.766375467975186,0.999339855956031
"FGFR1-TACC1",-18.821733734581,19055.0769876527,199,0,Inf,0.999211886243121,0.999339855956031
"CDK6",-0.0896491605286202,0.721553649017409,199,0.222268687359333,3.76056797982965,0.9011215925086,0.999339855956031
"MET",0.421207341015971,0.727104740219907,199,0.366450523953105,6.33637250643768,0.562390880470901,0.999339855956031
"KRAS",-20.2198341363199,16064.4547462917,199,0,Inf,0.998995727556624,0.999339855956031
"MLH1",-20.536870367311,21396.1855107548,199,0,Inf,0.999234160253985,0.999339855956031
"CDKN2B",0.0935323936315154,0.365759385359987,199,0.536149183784314,2.24882445658501,0.798166198631316,0.999339855956031
"MDM2",0.0474881680821147,0.47016355827085,199,0.417272633700984,2.6352862480683,0.919547676514046,0.999339855956031
"H3F3A",-0.618810212859824,1.1323087641501,199,0.0585370957706541,4.95538163131195,0.584720179785113,0.999339855956031
"PTPN11",0.391439060202269,0.726484429693726,199,0.356135409271883,6.14305624279683,0.590016077634476,0.999339855956031
"MSH2",-20.2251867400299,24445.2139582978,199,0,Inf,0.999339855956031,0.999339855956031
"IDH",19.0312290815047,17985.8397651372,199,0,Inf,0.999155740225533,0.999339855956031
