"gene","hr","se","n","low","up","pval","fdr"
"IDH1",19.3382394082699,14734.278452829,49,0,Inf,0.998952803947842,0.998980034033629
"ATRX",0.193716748171115,0.913953448131736,49,0.202381834981149,7.27928461387741,0.832142359049993,0.998980034033629
"TERTp",-19.3119574099054,15107.0809885834,49,0,Inf,0.998980034033629,0.998980034033629
"PIK3CA",1.71148975905234,0.914332176129124,49,0.922591818227151,33.2331507456434,0.061227801302302,0.214297304558057
"PDGFRA",2.25403687061584,0.934804066566036,49,1.52478675507602,59.5144519923912,0.0158983868489234,0.111288707942464
"CDKN2A",1.50433149838076,0.914588510544199,49,0.749589884289656,27.0285047264385,0.1000073820424,0.233350558098933
"TP53",0.618604172738941,1.11839185157603,49,0.207338288235816,16.6200853107408,0.580181688258836,0.998980034033629
