"","Gene","pval","fdr"
"1","ATRX",1,1
"2","CDK4",1,1
"3","CDKN2A",0.437989226493075,0.87597845298615
"4","CDKN2B",0.567067530064755,0.945112550107925
"5","EGFR",0.425531914893617,0.87597845298615
"6","PDGFRA",0.298124632074678,0.87597845298615
"7","PIK3CA",0.378909926852185,0.87597845298615
"8","PTEN",0.425531914893617,0.87597845298615
"9","TERTp",1,1
"10","TP53",0.758305752681877,1
