"variable","level","OR","CI_low","CI_high","p_value"
"Age","Age<40",3.14999999999065,0.302040207291805,32.8515865119735,0.337464272836995
"Sex","SexMale",0.439560439560441,0.132709971718137,1.45590702435635,0.178545268383545
"ECOG","ECOG1",0.472222222223621,0.0436692543723875,5.10642625725289,0.53677990367533
"ECOG","ECOG2",0.166666666667194,0.00984517253645428,2.82146175448924,0.214469782900464
"ECOG","ECOG3",0.0666666666668643,0.0029449227430951,1.50918880805671,0.0888647324248385
"MGMT","MGMTU",0.641025643294366,0.197682316758009,2.07865772771154,0.458762641098232
"Resection","ResectionSubtotal",7.27272727272727,1.32693025586126,39.8608455492188,0.0222607974128301
"Resection","ResectionTotal",25,1.80265374863357,346.711064436949,0.0164305612051111
