"","Gene","pval","fdr"
"1","ATRX",1,1
"2","BRAF",0.470133949997818,0.766766604543122
"3","NF1",1,1
"4","PDGFRA",0.18936877076412,0.563909954721072
"5","PIK3CA",0.211466233020402,0.563909954721072
"6","PTEN",0.575074953407342,0.766766604543122
"7","TERTp",0.575074953407342,0.766766604543122
"8","TP53",0.110922956640484,0.563909954721072
