"","Gene","pval","fdr"
"1","ATRX",0.0863787375415282,0.691029900332225
"2","BRAF",0.458223488558075,0.907478335427107
"3","NF1",0.68060875157033,0.907478335427107
"4","PDGFRA",0.518272425249169,0.907478335427107
"5","PIK3CA",0.655057451695956,0.907478335427107
"6","PTEN",1,1
"7","TERTp",1,1
"8","TP53",0.68060875157033,0.907478335427107
