"","Gene","pval","fdr"
"1","ATRX",0.549798267051043,0.953978566664925
"2","CDK4",1,1
"3","CDKN2A",0.407175497200345,0.953978566664925
"4","CDKN2B",0.551400347372992,0.953978566664925
"5","EGFR",0.387755102040816,0.953978566664925
"6","IDH",1,1
"7","PDGFRA",1,1
"8","PIK3CA",0.664880101397215,0.953978566664925
"9","PTEN",0.387755102040816,0.953978566664925
"10","TERTp",0.693802593938127,0.953978566664925
"11","TP53",0.0594709645055483,0.654180609561031
