"gene1","gene2","OR_raw","OR","pval","n11","n10","n01","n00","fdr"
"KIAA1549-BRAF","RB1",0,1.65454545454545,1,0,7,5,136,1
"KIAA1549-BRAF","CDKN2B",0,0.507070707070707,1,0,7,16,125,1
"KIAA1549-BRAF","MDM2",0,0.834920634920635,1,0,7,10,131,1
"KIAA1549-BRAF","PTPN11",0,1.65454545454545,1,0,7,5,136,1
"NF1","RB1",0,0.46615087040619,1,0,23,5,120,1
"NF1","CDKN2B",0.335124828697806,0.475268817204301,0.468148034355848,1,22,15,110,1
"NF1","MDM2",0,0.234042553191489,0.362434098665977,0,23,10,115,0.879235821730324
"NF1","PTPN11",1.37173124153446,1.8,0.575654490902652,1,22,4,121,1
"RB1","CDKN2B",0,0.702479338842975,1,0,5,16,127,1
"RB1","MDM2",0,1.15584415584416,1,0,5,10,133,1
"RB1","PTPN11",8.37212294775235,10.3333333333333,0.159913646185493,1,4,4,139,0.636117828429931
"CDKN2B","MDM2",0,0.353535353535354,0.601374134384694,0,16,10,122,1
"CDKN2B","PTPN11",0,0.702479338842975,1,0,16,5,127,1
"MDM2","PTPN11",3.66694815413971,4.71929824561404,0.298682415171382,1,9,4,134,0.810709412608037
