"gene1","gene2","OR_raw","OR","pval","n11","n10","n01","n00","fdr"
"CDK4","IDH",0.129254693970089,0.187096774193548,0.0183856831457584,1,22,46,130,0.176962200277924
"MDM4","PDGFRA",1.60649625489369,2.17671517671518,0.510238598481866,1,6,18,174,1
"MDM4","CDKN2A",2.32994833353272,2.62360446570973,0.284807494061234,2,5,28,164,0.774006248566414
"MDM4","TP53",0.279186519199031,0.383554376657825,0.426330445915359,1,6,72,120,0.911873453763406
"MDM4","FGFR3-TACC3",0,1.64888888888889,1,0,7,7,185,1
"MDM4","FGFR3",0,2.27272727272727,1,0,7,5,187,1
"MDM4","KIAA1549-BRAF",0,1.64888888888889,1,0,7,7,185,1
"MDM4","NF1",0,0.480851063829787,1,0,7,23,169,1
"MDM4","MSH6",6.10738172140483,7.86713286713287,0.195599093401992,1,6,5,187,0.613614795163988
"MDM4","RB1",17.8857705274537,19.040404040404,0.0149315101019039,2,5,4,188,0.149964297110426
"MDM4","CDKN2B",4.07016127178335,4.55844155844156,0.135880745597316,2,5,17,175,0.533883313609273
"MDM4","MDM2",0,1.15873015873016,1,0,7,10,182,1
"MDM4","PTPN11",7.63541312630824,9.66666666666667,0.165487829518644,1,6,4,188,0.570720754246539
"MDM4","IDH",0,0.204210526315789,0.201881923950057,0,7,47,145,0.613614795163988
"PDGFRA","CDKN2A",1.57537710959639,1.6926354230067,0.497372558084392,4,15,26,154,1
"PDGFRA","TP53",4.29905401662962,4.13668150031786,0.00465855785440446,13,6,60,120,0.0597848257981906
"PDGFRA","FGFR3-TACC3",0,0.593162393162393,1,0,19,7,173,1
"PDGFRA","FGFR3",2.42922298667648,3.18018018018018,0.397778443492875,1,18,4,176,0.865522050556996
"PDGFRA","KIAA1549-BRAF",0,0.593162393162393,1,0,19,7,173,1
"PDGFRA","NF1",0,0.171849427168576,0.136594628214912,0,19,23,157,0.533883313609273
"PDGFRA","MSH6",5.10144323643305,5.6031746031746,0.102876134894025,2,17,4,176,0.471346060284511
"PDGFRA","RB1",0,0.68836291913215,1,0,19,6,174,1
"PDGFRA","CDKN2B",1.9141650222547,2.1147842056933,0.400912811296964,3,16,16,164,0.865522050556996
"PDGFRA","MDM2",4.57463869594999,4.90707070707071,0.0577996013235326,3,16,7,173,0.307736862606559
"PDGFRA","PTPN11",0,0.818181818181818,1,0,19,5,175,1
"PDGFRA","IDH",0.85028929655494,0.917686318131257,1,4,15,43,137,1
"CDKN2A","TP53",2.62492015850637,2.60406424123238,0.0224233628652607,17,13,56,113,0.184992743638401
"CDKN2A","FGFR3-TACC3",0.937065568836322,1.27900912646675,1,1,29,6,163,1
"CDKN2A","FGFR3",1.4195905468725,1.87005649717514,0.562246815416216,1,29,4,165,1
"CDKN2A","KIAA1549-BRAF",0,0.355191256830601,0.597344701750293,0,30,7,162,1
"CDKN2A","NF1",0.828526959540942,0.928159645232816,1,3,27,20,149,1
"CDKN2A","MSH6",1.13026772613172,1.52080123266564,1,1,29,5,164,1
"CDKN2A","RB1",0,0.412358133669609,0.593837251417107,0,30,6,163,1
"CDKN2A","CDKN2B",60.1548875496774,54.1330049261084,7.2282512340125e-13,16,14,3,166,1.66972603505689e-10
"CDKN2A","MDM2",0,0.249024199843872,0.364539794076347,0,30,10,159,0.865522050556996
"CDKN2A","PTPN11",0,0.490312965722802,1,0,30,5,164,1
"CDKN2A","IDH",0.98161316095732,1.02048857368006,1,7,23,40,129,1
"TP53","FGFR3-TACC3",0,0.108390022675737,0.0487802192521789,0,73,7,119,0.296532385454035
"TP53","FGFR3",0.425186908809286,0.563218390804598,0.653994960476607,1,72,4,122,1
"TP53","KIAA1549-BRAF",0,0.108390022675737,0.0487802192521789,0,73,7,119,0.296532385454035
"TP53","NF1",0.730284933568125,0.755297334244703,0.646959346860142,7,66,16,110,1
"TP53","MSH6",1.75183038346851,1.75177304964539,0.670938506226464,3,70,3,123,1
"TP53","RB1",3.56997696382606,3.22446043165468,0.19464651754233,4,69,2,124,0.613614795163988
"TP53","CDKN2B",1.28501668853953,1.30335214072353,0.623272697418263,8,65,11,115,1
"TP53","MDM2",0,0.0754778101716877,0.01459870267576,0,73,10,116,0.149964297110426
"TP53","PTPN11",0,0.150278293135436,0.160333200457681,0,73,5,121,0.570720754246539
"TP53","IDH",5.02722367745873,4.96363636363636,3.95223668368284e-06,31,42,16,110,0.000130423810561534
"FGFR3-TACC3","FGFR3",23.6833505129736,24.6103896103896,0.0101265211843484,2,5,3,189,0.123117178609709
"FGFR3-TACC3","KIAA1549-BRAF",0,1.64888888888889,1,0,7,7,185,1
"FGFR3-TACC3","NF1",1.28608698420183,1.74871794871795,0.582664496898678,1,6,22,170,1
"FGFR3-TACC3","MSH6",0,1.91282051282051,1,0,7,6,186,1
"FGFR3-TACC3","RB1",0,1.91282051282051,1,0,7,6,186,1
"FGFR3-TACC3","CDKN2B",1.60649625489369,2.17671517671518,0.510238598481866,1,6,18,174,1
"FGFR3-TACC3","MDM2",0,1.15873015873016,1,0,7,10,182,1
"FGFR3-TACC3","PTPN11",7.63541312630824,9.66666666666667,0.165487829518644,1,6,4,188,0.570720754246539
"FGFR3-TACC3","IDH",0,0.204210526315789,0.201881923950057,0,7,47,145,0.613614795163988
"FGFR3","KIAA1549-BRAF",0,2.27272727272727,1,0,5,7,187,1
