"gene","level","logHR","HR","se","n","low","up","pval","fdr","study"
"ATRX","variable1",0.510075018308214,1.66541612696005,0.734206607133498,48,0.375397238605949,6.31800971117938,0.475426034079891,0.475426034079891,"Mut"
"PIK3CA","variable1",2.58770308848946,13.2991894330822,0.871459672088229,48,2.90206046875461,77.9586155250753,0.00120369455392333,0.00240738910784666,"Mut"
"PDGFRA","variable1",4.12068464177073,61.6014027238164,1.34243443788157,48,6.40693460182663,910.496530061657,0.00069970644753492,0.00209911934260476,"Mut"
"CDKN2A","variable1",1.26713443048952,3.55066329781683,0.780266466872652,48,0.780653055842471,14.8746603429988,0.0960893339685579,0.144134000952837,"Mut"
"TP53","variable1",0.618640034636811,1.85640168236684,0.797415057970303,48,0.484102467953172,10.0563783103217,0.382801847809861,0.459362217371834,"Mut"
"CDKN2B","variable1",4.4018852032583,81.6045649368029,1.34759780268804,48,8.27537362458736,1219.8478738509,0.000381469183262539,0.00209911934260476,"Mut"
